år,navn,platform,Platform/OS version,udvikler,udgiver,Spilllets url,Udviklers URL,omtale URL,Anmeldelse URL,Screenshot,Video,Metascore,Genre,Noter,Cover,i beholdning,unikke titler,Fysisk medie,Online,Mobil(portal),Konsolportal + steam,Sorteringsår,Har på lokal maskine (server),I Netarkivet,Netarkivet URL - til spil eller landing page,Netarkivering - noter,Har Rex-post,Itunes Info,Games Preingest - Placering (OBS: inkomplet registrering),Alternative titler,Kolonne1,Kolonne2,Kolonne3,Kolonne4,Kolonne5,Kolonne6,Kolonne7,Kolonne8,Kolonne9,Kolonne10,Kolonne11,Kolonne12,Kolonne13,Kolonne14,Kolonne15,Kolonne16,Kolonne17,Kolonne18,Kolonne19,Kolonne20,Kolonne21,Kolonne22,Kolonne23,Kolonne24,Kolonne25,Kolonne26,Kolonne27,Kolonne28,Kolonne29,Kolonne30,Kolonne31,Kolonne32,Kolonne33,Kolonne34,Kolonne35,Kolonne36,Kolonne37,Kolonne38,Kolonne39,Kolonne40,Kolonne41,Kolonne42,Kolonne43,Kolonne44,Kolonne45,Kolonne46,Kolonne47,Kolonne48,Kolonne49,Kolonne50,Kolonne51,Kolonne52,Kolonne53,Kolonne54,Kolonne55,Kolonne56,Kolonne57,Kolonne58,Kolonne59,Kolonne60,Kolonne61,Kolonne62,Kolonne63,Kolonne64,Kolonne65,Kolonne66,Kolonne67,Kolonne68,Kolonne69,Kolonne70,Kolonne71,Kolonne72,Kolonne73,Kolonne74,Kolonne75,Kolonne76,Kolonne77,Kolonne78,Kolonne79,Kolonne80,Kolonne81,Kolonne82,Kolonne83,Kolonne84,Kolonne85,Kolonne86,Kolonne87,Kolonne88,Kolonne89,Kolonne90,Kolonne91,Kolonne92,Kolonne93,Kolonne94,Kolonne95,Kolonne96,Kolonne97,Kolonne98,Kolonne99,Kolonne100,Kolonne101,Kolonne102,Kolonne103,Kolonne104,Kolonne105,Kolonne106,Kolonne107,Kolonne108,Kolonne109,Kolonne110,Kolonne111,Kolonne112,Kolonne113,Kolonne114,Kolonne115,Kolonne116,Kolonne117,Kolonne118,Kolonne119,Kolonne120,Kolonne121,Kolonne122,Kolonne123,Kolonne124,Kolonne125,Kolonne126,Kolonne127,Kolonne128,Kolonne129,Kolonne130,Kolonne131,Kolonne132,Kolonne133,Kolonne134,Kolonne135,Kolonne136,Kolonne137,Kolonne138,Kolonne139,Kolonne140,Kolonne141,Kolonne142,Kolonne143,Kolonne144,Kolonne145,Kolonne146,Kolonne147,Kolonne148,Kolonne149,Kolonne150,Kolonne151,Kolonne152,Kolonne153,Kolonne154,Kolonne155,Kolonne156,Kolonne157,Kolonne158,Kolonne159,Kolonne160,Kolonne161,Kolonne162,Kolonne163,Kolonne164,Kolonne165,Kolonne166,Kolonne167,Kolonne168,Kolonne169,Kolonne170,Kolonne171,Kolonne172,Kolonne173,Kolonne174,Kolonne175,Kolonne176,Kolonne177,Kolonne178,Kolonne179,Kolonne180,Kolonne181,Kolonne182,Kolonne183,Kolonne184,Kolonne185,Kolonne186,Kolonne187,Kolonne188,Kolonne189,Kolonne190,Kolonne191,Kolonne192,Kolonne193,Kolonne194,Kolonne195,Kolonne196,Kolonne197,Kolonne198,Kolonne199,Kolonne200,Kolonne201,Kolonne202,Kolonne203,Kolonne204,Kolonne205,Kolonne206,Kolonne207,Kolonne208,Kolonne209,Kolonne210,Kolonne211,Kolonne212,Kolonne213,Kolonne214,Kolonne215,Kolonne216,Kolonne217,Kolonne218,Kolonne219,Kolonne220,Kolonne221,Kolonne222,Kolonne223,Kolonne224,Kolonne225
201?,Regn med penge,"iOS, Android, Web, mm.",,Daily Wrestler,Daily Wrestler,http://regnmedpenge.dk/,,,,,,,,ikke et spil - interaktiv regnemaskine med pengesedler og mønter,,1,1,0,1,1,0,1899/12/31,0,1,http://regnmedpenge.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Olsenbanden i Jylland,Mobil,,Progressive Media,,,http://www.progressivemedia.dk,,,,,,,,,0,1,0,0,1,0,1899/12/31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Era of Eidolon - Mistral Grove,Mobil,,watAgame,watAgame,,,,,,,,,,,0,1,0,0,1,0,1899/12/31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Era of Eidolon - Poker,Mobil,,watAgame,watAgame,,,,,,,,,,,0,1,0,0,1,0,1899/12/31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Era of Eidolon - Shirads's Forge,Mobil,,watAgame,watAgame,,,,,,,,,,,0,1,0,0,1,0,1899/12/31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??,Odd Pinball machine,Web (Unity),,morten Lennert,Dapper Games,http://dapper-games.dk/curious/Pinball_Morten.html,http://dapper-games.dk/curious/Pinball_Morten.html,,,,,,,,,1,1,0,1,0,0,1899/12/31,0,1,http://dapper-games.dk/curious/Pinball_Morten.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Border Blaster,Web (Flash),,Thomas Egebæk,Thomas Egebæk,http://www.thomasegebaek.dk/pf_lost.php,thomasegebaek.dk,,,,,,,,,1,1,0,1,0,0,1899/12/31,0,1,http://www.thomasegebaek.dk/pf_lost.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Bumperball,Web (Flash),,Oxmond Interactive,,http://www.bumperball.com,http://www.oxmond.com,,,,,,,,,1,1,0,1,0,0,1899/12/31,0,1,http://oxmond.com/bumperball/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Project Guardian,Web (Java),,Rune Holm (Blasting Pixels),,http://scarzzurs.dk/ProjectGuardian/Guardian.zip ,http://blastingpixels.com,,,,,,,,,1,1,0,1,0,0,1899/12/31,0,1,http://scarzzurs.dk/ProjectGuardian/Guardian.zip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Beyond Negotiation,Web (Java),,Rune Holm (Blasting Pixels),,http://blastingpixels.com/?target=BeyondNegotiation,http://blastingpixels.com,,,,,,,,,1,1,0,1,0,0,1899/12/31,0,1,http://blastingpixels.com/?target=BeyondNegotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
